Plot;Harvest;Species;Infection;Notes
28;A16;Ao;1;
28;A16;Be;NA;set to associated monoculture value
28;A16;Cj;0;
28;A16;Dc;0;
28;A16;Fr;0.66;
28;A16;Hp;1;
28;A16;Pg;0.9;
28;A16;Pm;0.14;
29;A16;Am;0;
29;A16;Be;NA;set to associated monoculture value
29;A16;Cj;0.1;
29;A16;Dc;0.5;
29;A16;Hp;1;
29;A16;Pg;0.3;
29;A16;Pm;0;
29;A16;Sp;0;
30;A16;Am;0;Monoculture value zero. Set to half of lowest observed infection value in monocultures.
32;A16;Lp;1;
33;A16;Fr;0.5;
33;A16;Pt;0.4;
33;A16;Ra;1;
33;A16;Sp;0;
34;A16;Ao;1;
34;A16;Cb;0.8;
34;A16;Dg;0.8;
34;A16;Ga;0;
34;A16;Hp;1;
34;A16;Pg;0.3;
34;A16;Ra;1;
34;A16;Sp;0;
35;A16;Be;0;
35;A16;Cb;1;
35;A16;Dc;0.5;
35;A16;Dg;1;
35;A16;Hl;0.5;
35;A16;Hp;1;
35;A16;Pg;0.5;
35;A16;Ra;1;
36;A16;Cb;1;
36;A16;Dg;1;
36;A16;Hl;1;
36;A16;Lp;1;
36;A16;Pt;0;
36;A16;To;0.5;
37;A16;Ao;1;
37;A16;Dc;0.2;
37;A16;Fr;0.8;
37;A16;Pm;0.1;
38;A16;Ao;1;
38;A16;Dc;0.5;
38;A16;Dg;0.75;
38;A16;To;1;
39;A16;Cb;1;
39;A16;Hp;1;
39;A16;Lp;1;
39;A16;Pg;0.5;
40;A16;Ga;0;
40;A16;Hl;0.66;
40;A16;Lp;1;
40;A16;Pt;0.5;
40;A16;Ra;0.85;
40;A16;To;0.5;
41;A16;Am;0;
41;A16;Ao;0.9;
41;A16;Be;0.9;
41;A16;Cj;0.08;
41;A16;Dc;0.5;
41;A16;Fr;1;
41;A16;Hp;1;
41;A16;Pm;0;
42;A16;Be;0.5;
42;A16;Cj;0;
42;A16;Dc;0.5;
42;A16;Pm;0;
43;A16;Am;0;
43;A16;Ao;NA;set to associated monoculture value
43;A16;Be;1;
43;A16;Cb;0.6;
43;A16;Cj;0;
43;A16;Dc;0.5;
43;A16;Dg;1;
43;A16;Fr;0.5;
43;A16;Ga;0;
43;A16;Hl;1;
43;A16;Hp;0.75;
43;A16;Lp;0.9;
43;A16;Pg;1;
43;A16;Pm;0;
43;A16;Pt;0;
43;A16;Ra;1;
43;A16;Sp;0;
43;A16;To;0.5;
44;A16;Am;0;
44;A16;Ao;1;
44;A16;Dg;1;
44;A16;Hl;1;
44;A16;Pg;0.6;
44;A16;Pm;0;
44;A16;Ra;0.75;
45;A16;Be;0.5;
46;A16;Am;0;
46;A16;Ao;1;
46;A16;Fr;0.5;
46;A16;Hp;1;
47;A16;Pg;0.8;
48;A16;Cb;0;
48;A16;Dg;1;
48;A16;Ga;0;
48;A16;Hl;1;
48;A16;Pt;0;
48;A16;To;0.3;
49;A16;Dc;0.5;
49;A16;Hl;1;
49;A16;Hp;0.6;
49;A16;Pg;1;
49;A16;Pm;0;
49;A16;To;0.5;
50;A16;Am;0;
50;A16;Ao;NA;set to associated monoculture value
50;A16;Be;1;
50;A16;Dc;0.5;
50;A16;Fr;0.9;
50;A16;Hp;1;
50;A16;Pm;0;
50;A16;Sp;0;
51;A16;Am;NA;set to associated monoculture value
51;A16;Be;1;
51;A16;Cj;0;
51;A16;Dc;0.2;
51;A16;Fr;0.8;
51;A16;Pg;0.5;
51;A16;Pm;0;
51;A16;Sp;0;
52;A16;To;1;
53;A16;Dg;0.8;
53;A16;Ga;0;
53;A16;Ra;1;
54;A16;Am;0.05;
54;A16;Ao;1;
54;A16;Be;1;
54;A16;Cj;0.05;
54;A16;Dc;0.5;
54;A16;Pg;0.9;
54;A16;Pm;0;
54;A16;Sp;0.3;
55;A16;Am;0;
55;A16;Ao;0.6;
55;A16;Dc;0.5;
55;A16;Pm;0;
56;A16;Cj;0.1;
57;A16;Am;0;
57;A16;Ao;1;
57;A16;Be;0.66;
57;A16;Cj;0.1;
57;A16;Fr;1;
57;A16;Hp;1;
57;A16;Pg;0.5;
57;A16;Sp;0;
58;A16;Dg;1;
58;A16;Ga;0;
58;A16;Ra;1;
59;A16;Am;0;
59;A16;Ao;NA;set to associated monoculture value
59;A16;Be;NA;set to associated monoculture value
59;A16;Cb;0;
59;A16;Cj;0;
59;A16;Dc;0.2;
59;A16;Dg;1;
59;A16;Fr;1;
59;A16;Ga;0;
59;A16;Hl;1;
59;A16;Hp;1;
59;A16;Lp;1;
59;A16;Pg;0.5;
59;A16;Pm;0;
59;A16;Pt;0;
59;A16;Ra;1;
59;A16;Sp;0;
59;A16;To;0.93;
60;A16;Cb;0.9;
61;A16;Dg;1;
61;A16;Ga;0;
61;A16;Hl;1;
61;A16;Lp;1;
61;A16;Pt;1;
61;A16;To;1;
62;A16;Am;0;
62;A16;Ao;1;
62;A16;Be;1;
62;A16;Fr;0.5;
62;A16;Hp;1;
62;A16;Pg;1;
62;A16;Pm;0;
62;A16;Sp;0.15;
63;A16;Cb;0.75;
63;A16;Dg;1;
63;A16;Ga;0;
63;A16;Hl;1;
63;A16;Lp;1;
63;A16;To;1;
64;A16;Cb;0.85;
64;A16;Ga;0.66;
64;A16;Hl;1;
64;A16;Lp;1;
65;A16;Cb;0.4;
65;A16;Dg;1;
65;A16;Ga;0;
65;A16;Lp;0.95;
65;A16;Pt;1;
65;A16;Ra;1;
65;A16;To;0.7;
66;A16;Am;0.33;
66;A16;Dg;1;
66;A16;Sp;0.66;
67;A16;Hp;1;
68;A16;Ao;1;
68;A16;Cj;0;
68;A16;Fr;0.9;
68;A16;Pg;0.5;
69;A16;Cb;0.5;
69;A16;Dg;1;
69;A16;Ga;0;
69;A16;Hl;1;
69;A16;Ra;1;
69;A16;To;0;
70;A16;Cj;0;
70;A16;Fr;0.9;
70;A16;Ga;0;
70;A16;Pm;0;
70;A16;Pt;0;
70;A16;Sp;0;
70;A16;To;0.57;
71;A16;Fr;0.5;
72;A16;Dc;0.7;
72;A16;Dg;NA;set to associated monoculture value
72;A16;Ga;0;
72;A16;Hl;0.75;
72;A16;Hp;1;
72;A16;Lp;1;
72;A16;Pg;1;
72;A16;Pm;0;
73;A16;Be;1;
73;A16;Dc;0.5;
73;A16;Ga;NA;set to associated monoculture value
73;A16;Lp;1;
73;A16;Pg;1;
73;A16;Pm;0;
73;A16;Ra;1;
74;A16;Dg;0.85;
74;A16;Lp;1;
74;A16;Pt;0;
75;A16;Be;0;
75;A16;Ga;0;
75;A16;Pm;0;
75;A16;To;1;
76;A16;Am;0;
76;A16;Ao;0.8;
76;A16;Cb;0.25;
76;A16;Ga;0;
76;A16;Pm;0;
76;A16;Sp;0;
77;A16;Am;0;
77;A16;Ga;0;
77;A16;Lp;1;
77;A16;Sp;0;
78;A16;Ga;0;Monoculture value zero. Set to half of lowest observed infection value in monocultures.
79;A16;Sp;0.2;
80;A16;Cb;0.25;
80;A16;Ga;0;
80;A16;Lp;1;
80;A16;Pt;0;
80;A16;Ra;0.66;
80;A16;To;1;
82;A16;Am;0;
82;A16;Ao;1;
82;A16;Be;1;
82;A16;Cj;0;
82;A16;Dc;0.5;
82;A16;Hp;1;
82;A16;Pm;0;
82;A16;Sp;0;
83;A16;Am;0;
83;A16;Ao;1;
83;A16;Be;1;
83;A16;Cb;NA;set to associated monoculture value
83;A16;Cj;0;
83;A16;Dc;0.5;
83;A16;Dg;1;
83;A16;Fr;1;
83;A16;Ga;0;
83;A16;Hl;1;
83;A16;Hp;1;
83;A16;Lp;1;
83;A16;Pg;0.75;
83;A16;Pm;0;
83;A16;Pt;0;
83;A16;Ra;1;
83;A16;Sp;0;
83;A16;To;0.25;
84;A16;Cb;1;
84;A16;Ga;0;
84;A16;Hl;1;
84;A16;Lp;1;
84;A16;Pt;0;
84;A16;Ra;1;
84;A16;To;1;
85;A16;Am;0;
85;A16;Be;1;
85;A16;Cj;0.25;
85;A16;Dc;0.5;
85;A16;Fr;0.4;
85;A16;Pg;0.5;
85;A16;Pm;0;
85;A16;Sp;0;
86;A16;Cb;1;
86;A16;Dg;1;
86;A16;Ga;0;
86;A16;Hl;1;
86;A16;Pt;NA;set to associated monoculture value
86;A16;To;1;
87;A16;Be;0;
87;A16;Dc;0.4;
87;A16;Ga;0;
87;A16;Lp;1;
87;A16;Pg;0.6;
87;A16;Pm;0;
87;A16;Ra;1;
88;A16;Pg;0.3;
89;A16;Cb;0.6;
89;A16;Ga;0;
89;A16;Lp;1;
89;A16;Pt;0;
89;A16;Ra;0;
89;A16;To;0.6;
90;A16;Am;0;
90;A16;Ao;0.75;
90;A16;Dg;1;
90;A16;Hl;1;
90;A16;Pg;0.4;
90;A16;Pm;0;
90;A16;Ra;0.9;
91;A16;Ao;0.5;
92;A16;Ao;0.66;
92;A16;Cj;0.85;
92;A16;Hp;0.9;
92;A16;Pg;0.3;
93;A16;Lp;1;
94;A16;Cb;0.66;
94;A16;Dg;0.8;
94;A16;Ga;0;
94;A16;Hl;1;
94;A16;Ra;1;
94;A16;To;0.8;
95;A16;Dc;0.5;
96;A16;Cj;1;
97;A16;Fr;0.05;
98;A16;Am;0;
98;A16;Ao;0;
98;A16;Be;0.4;
98;A16;Cj;0;
98;A16;Dc;0;
98;A16;Hp;0.6;
98;A16;Pm;0;
98;A16;Sp;0;
99;A16;Am;0;
99;A16;Ao;0.5;
99;A16;Be;0;
99;A16;Cb;1;
99;A16;Cj;0.8;
99;A16;Dc;0.5;
99;A16;Dg;0.5;
99;A16;Fr;0.5;
99;A16;Ga;0;
99;A16;Hl;0.5;
99;A16;Hp;1;
99;A16;Lp;1;
99;A16;Pg;NA;set to associated monoculture value
99;A16;Pm;0;
99;A16;Pt;NA;set to associated monoculture value
99;A16;Ra;1;
99;A16;Sp;0;
99;A16;To;1;
100;A16;Be;0;
100;A16;Cb;1;
100;A16;Dc;0.5;
100;A16;Dg;0;
100;A16;Hl;0.25;
100;A16;Hp;0;
100;A16;Pg;0.3;
100;A16;Ra;0;
101;A16;Dg;0.9;
101;A16;Lp;1;
101;A16;To;1;
102;A16;Cb;1;
102;A16;Ga;0;
102;A16;Hl;1;
103;A16;Cb;1;
103;A16;Ga;0;
103;A16;Hl;1;
103;A16;Lp;1;
103;A16;Pt;0;
103;A16;Ra;0;
103;A16;To;1;
104;A16;Dg;0.9;
104;A16;Lp;1;
104;A16;Ra;0;
105;A16;Am;0;
105;A16;Ao;0.6;
105;A16;Cb;0.6;
105;A16;Ga;0;
105;A16;Pm;0;
105;A16;Sp;0;
106;A16;Dg;0.9;
106;A16;Lp;1;
106;A16;Pt;0;
106;A16;To;0.87;
107;A16;Be;0;
107;A16;Dc;0.33;
107;A16;Fr;0.3;
107;A16;Ga;0;
107;A16;Lp;0.95;
107;A16;Pt;0.1;
107;A16;Sp;0;
107;A16;To;0.7;
108;A16;Cj;0.8;
108;A16;Dg;0.9;
108;A16;Sp;0.3;
108;A16;To;0.3;
109;A16;Hp;1;
109;A16;Pg;0.5;
109;A16;Pm;0;
109;A16;Sp;0;
110;A16;Cj;1;
110;A16;Fr;0.5;
110;A16;Ga;0;
110;A16;Pm;0;
110;A16;Pt;0;
110;A16;Sp;0;
110;A16;To;NA;set to associated monoculture value
111;A16;Ao;0;
111;A16;Dg;0.6;
111;A16;Hp;1;
111;A16;Ra;1;
112;A16;Am;0;
112;A16;Ao;0.5;
112;A16;Dc;0;
112;A16;Pm;0;
113;A16;Cb;0.9;
114;A16;Pt;0.2;
115;A16;To;0.9;
116;A16;Cb;1;
116;A16;Ga;0;
116;A16;Hl;1;
116;A16;Lp;1;
117;A16;Am;0;
117;A16;Ao;1;
117;A16;Be;1;
117;A16;Cb;1;
117;A16;Cj;0.12;
117;A16;Dc;0.5;
117;A16;Dg;NA;set to associated monoculture value
117;A16;Fr;0.66;
117;A16;Ga;0;
117;A16;Hl;1;
117;A16;Hp;1;
117;A16;Lp;1;
117;A16;Pg;0.9;
117;A16;Pm;0;
117;A16;Pt;0;
117;A16;Ra;0.5;
117;A16;Sp;0;
117;A16;To;1;
118;A16;Am;0.05;
118;A16;Ao;NA;set to associated monoculture value
118;A16;Be;0.7;
118;A16;Cj;0.5;
118;A16;Fr;0.8;
118;A16;Hp;1;
118;A16;Pg;0.5;
118;A16;Sp;0;
120;A16;Am;0;
120;A16;Ao;0;
120;A16;Be;0.71;
120;A16;Cj;1;
120;A16;Dc;0.5;
120;A16;Fr;0.5;
120;A16;Hp;1;
120;A16;Pm;0;
121;A16;Hp;0.8;
122;A16;Dc;0.55;
122;A16;Hl;1;
122;A16;Hp;1;
122;A16;Pg;0.6;
122;A16;Pm;0;
122;A16;To;1;
123;A16;Ao;0.25;
123;A16;Be;0.5;
123;A16;Cb;1;
123;A16;Cj;0.7;
123;A16;Hl;NA;set to associated monoculture value
123;A16;Hp;1;
123;A16;Lp;1;
123;A16;To;0.66;
124;A16;Be;0.8;
124;A16;Cj;1;
124;A16;Dc;0.4;
124;A16;Pm;0;
125;A16;Ao;0;
125;A16;Be;0.8;
125;A16;Cj;1;
125;A16;Dc;0.5;
125;A16;Fr;0.35;
125;A16;Pg;1;
125;A16;Pm;0;
125;A16;Sp;0;
126;A16;Sp;0.2;
127;A16;Ao;0.25;
127;A16;Cj;1;
127;A16;Fr;0.3;
127;A16;Pg;0.5;
128;A16;Ao;0.71;
128;A16;Cj;0.8;
128;A16;Dc;0.33;
128;A16;Sp;0;
129;A16;Dg;1;
130;A16;Hl;1;
131;A16;Cb;1;
131;A16;Dg;1;
131;A16;Ga;0;
131;A16;Lp;1;
131;A16;Pt;0;
131;A16;Ra;0.6;
131;A16;To;1;
132;A16;Cb;0.8;
132;A16;Dg;1;
132;A16;Ga;0;
132;A16;Lp;1;
132;A16;Pt;0;
132;A16;Ra;0.75;
133;A16;Ao;0.66;
133;A16;Dc;0.4;
133;A16;Fr;0.85;
133;A16;Pm;0;
134;A16;Am;0.1;
135;A16;Ga;0;
135;A16;Hl;1;
135;A16;Lp;1;
135;A16;Pt;0;
135;A16;Ra;0.5;
135;A16;To;0.7;
136;A16;Cb;0.9;
136;A16;Dg;1;
136;A16;Hl;1;
136;A16;Lp;1;
136;A16;Pt;1;
136;A16;To;0.6;
137;A16;Am;0;
137;A16;Dg;1;
137;A16;Sp;0;
138;A16;Be;1;
138;A16;Ga;0;
138;A16;Pm;0;
138;A16;To;NA;set to associated monoculture value
139;A16;Cb;0.3;
139;A16;Dg;0.7;
139;A16;Pt;0.2;
139;A16;To;0.5;
140;A16;Dg;1;
140;A16;Ga;0;
140;A16;Ra;0.8;
141;A16;Ao;1;
141;A16;Be;0;
141;A16;Cj;0.92;
141;A16;Dc;0.5;
141;A16;Fr;0.9;
141;A16;Hp;0.66;
141;A16;Pg;0.5;
141;A16;Pm;0;
142;A16;Dg;1;
142;A16;Ga;0;
142;A16;Ra;0.5;
143;A16;Dc;0.8;
143;A16;Lp;1;
143;A16;Pm;0;
143;A16;To;0.5;
144;A16;Cb;0.6;
144;A16;Hp;0.7;
144;A16;Lp;1;
144;A16;Pg;1;
145;A16;Am;0;
145;A16;Ga;0;
145;A16;Lp;1;
145;A16;Sp;0;
146;A16;Ga;0;Monoculture value zero. Set to half of lowest observed infection value in monocultures.
147;A16;Ao;1;
147;A16;Cb;0.5;
147;A16;Dg;NA;set to associated monoculture value
147;A16;Ga;0;
147;A16;Hp;0.7;
147;A16;Pg;1;
147;A16;Ra;0.75;
147;A16;Sp;0;
148;A16;Be;0.8;
149;A16;Dc;0.5;
149;A16;Hp;1;
149;A16;Pg;0.5;
149;A16;Sp;0;
150;A16;Am;0;
150;A16;Ao;0.4;
150;A16;Be;0.5;
150;A16;Cj;0.9;
150;A16;Dc;0;
150;A16;Pg;0.33;
150;A16;Pm;0;
150;A16;Sp;0;
151;A16;Am;0;
151;A16;Dc;0.6;
151;A16;Lp;1;
151;A16;To;0.2;
152;A16;Fr;0.7;
152;A16;Pt;NA;set to associated monoculture value
152;A16;Ra;0;
152;A16;Sp;0;
153;A16;Am;0;
153;A16;Be;0.5;
153;A16;Cj;0.6;
153;A16;Dc;0.4;
153;A16;Hp;1;
153;A16;Pg;0.5;
153;A16;Pm;0;
153;A16;Sp;0;
154;A16;Dg;1;
154;A16;Ga;0;
154;A16;Hl;1;
154;A16;Lp;1;
154;A16;Pt;0;
154;A16;To;0.1;
155;A16;Am;0;
155;A16;Ao;1;
155;A16;Be;0.75;
155;A16;Dc;0.4;
155;A16;Fr;0.9;
155;A16;Hp;0.95;
155;A16;Pm;0;
155;A16;Sp;0;
157;A16;Am;0;
157;A16;Ao;0;
157;A16;Fr;0.5;
157;A16;Hp;0.75;
158;A16;Am;0;
158;A16;Ao;NA;set to associated monoculture value
158;A16;Be;1;
158;A16;Cb;0;
158;A16;Cj;1;
158;A16;Dc;0.5;
158;A16;Dg;NA;set to associated monoculture value
158;A16;Fr;0.75;
158;A16;Ga;NA;set to associated monoculture value
158;A16;Hl;1;
158;A16;Hp;0.5;
158;A16;Lp;1;
158;A16;Pg;0.4;
158;A16;Pm;0;
158;A16;Pt;0.66;
158;A16;Ra;1;
158;A16;Sp;0;
158;A16;To;0.1;
159;A16;Dg;0.8;
159;A16;Lp;1;
159;A16;Pt;0.5;
160;A16;Am;0;
160;A16;Cj;0.5;
160;A16;Fr;0.9;
160;A16;Hp;1;
161;A16;Cb;1;
161;A16;Dg;1;
161;A16;Ga;0;
161;A16;Hl;1;
161;A16;Lp;1;
161;A16;To;0.75;
162;A16;Am;0;
162;A16;Ao;0.5;
162;A16;Be;0;
162;A16;Fr;0.8;
162;A16;Hp;0.8;
162;A16;Pg;0.66;
162;A16;Pm;0;
162;A16;Sp;0;
163;A16;Dc;0.5;
163;A16;Dg;1;
163;A16;Ga;0;
163;A16;Hl;1;
163;A16;Hp;1;
163;A16;Lp;1;
163;A16;Pg;0.25;
163;A16;Pm;0;
164;A16;Pm;0;Monoculture value zero. Set to half of lowest observed infection value in monocultures.
165;A16;Dg;1;
165;A16;Hl;1;
165;A16;Pt;0;
166;A16;Am;0.1;
166;A16;Ao;NA;set to associated monoculture value
166;A16;Be;0.33;
166;A16;Cb;0;
166;A16;Cj;0.75;
166;A16;Dc;0.5;
166;A16;Dg;1;
166;A16;Fr;1;
166;A16;Ga;0;
166;A16;Hl;NA;set to associated monoculture value
166;A16;Hp;0.5;
166;A16;Lp;1;
166;A16;Pg;1;
166;A16;Pm;0;
166;A16;Pt;0.5;
166;A16;Ra;NA;set to associated monoculture value
166;A16;Sp;0;
166;A16;To;0.5;
167;A16;Ra;1;
168;A16;Ao;0.1;
168;A16;Dc;0.5;
168;A16;Dg;0.8;
168;A16;To;0.3;
169;A16;Dg;1;
170;A16;Am;0.13;
170;A16;Ao;1;
170;A16;Cb;1;
170;A16;Ga;0.33;
170;A16;Pm;0;
170;A16;Sp;0.13;
171;A16;Am;1;
171;A16;Ao;NA;set to associated monoculture value
171;A16;Be;NA;set to associated monoculture value
171;A16;Cb;1;
171;A16;Cj;0;
171;A16;Dc;0.5;
171;A16;Dg;1;
171;A16;Fr;0.5;
171;A16;Ga;0;
171;A16;Hl;1;
171;A16;Hp;1;
171;A16;Lp;1;
171;A16;Pg;0.66;
171;A16;Pm;0;
171;A16;Pt;0;
171;A16;Ra;1;
171;A16;Sp;0;
171;A16;To;0.5;
172;A16;Cb;1;
172;A16;Hp;1;
172;A16;Lp;1;
172;A16;Pg;0.5;
173;A16;Am;0;
173;A16;Ao;0.8;
173;A16;Dc;0.66;
173;A16;Pm;0;
174;A16;Am;0.5;
174;A16;Ao;1;
174;A16;Be;NA;set to associated monoculture value
174;A16;Cj;1;
174;A16;Dc;0.66;
174;A16;Fr;1;
174;A16;Hp;1;
174;A16;Pm;0;
175;A16;Ao;0.9;
175;A16;Cj;0.3;
175;A16;Dc;0.8;
175;A16;Sp;0;
176;A16;Dc;0.5;
177;A16;Cb;1;
177;A16;Dg;1;
177;A16;Ga;0;
177;A16;Hl;1;
177;A16;Lp;1;
177;A16;To;0.66;
178;A16;Pm;0;Monoculture value zero. Set to half of lowest observed infection value in monocultures.
179;A16;Ao;1;
179;A16;Dc;0.5;
179;A16;Dg;1;
179;A16;To;NA;set to associated monoculture value
180;A16;Am;0;
180;A16;Ao;1;
180;A16;Be;NA;set to associated monoculture value
180;A16;Dc;0.5;
180;A16;Fr;0.8;
180;A16;Hp;1;
180;A16;Pm;0;
180;A16;Sp;0;
181;A16;Dc;0.9;
181;A16;Hp;1;
181;A16;Pg;0.65;
181;A16;Sp;0;
182;A16;Ga;0;Monoculture value zero. Set to half of lowest observed infection value in monocultures.
183;A16;Cb;1;
183;A16;Dg;1;
183;A16;Hl;0.88;
183;A16;Lp;1;
183;A16;Pt;0;
183;A16;To;1;
184;A16;Dg;0.75;
184;A16;Ga;0;
184;A16;Ra;1;
185;A16;Dc;0.5;
185;A16;Hl;1;
185;A16;Hp;1;
185;A16;Pg;0.5;
185;A16;Pm;0;
185;A16;To;1;
186;A16;Ao;0.85;
186;A16;Be;0;
186;A16;Cj;0.1;
186;A16;Dc;0.6;
186;A16;Fr;1;
186;A16;Hp;1;
186;A16;Pg;0.65;
186;A16;Pm;0;
187;A16;Ao;0.75;
187;A16;Cb;0.5;
187;A16;Dg;1;
187;A16;Ga;0;
187;A16;Hp;1;
187;A16;Pg;0.5;
187;A16;Ra;1;
187;A16;Sp;0;
188;A16;Dg;1;
188;A16;Hl;1;
188;A16;Pt;0.5;
189;A16;Cj;0.1;
189;A16;Fr;0.5;
189;A16;Ga;0;
189;A16;Pm;0;
189;A16;Pt;0.25;
189;A16;Sp;0;
189;A16;To;0.5;
190;A16;Am;0;
190;A16;Ao;NA;set to associated monoculture value
190;A16;Be;NA;set to associated monoculture value
190;A16;Cb;0;
190;A16;Cj;0.25;
190;A16;Dc;0.55;
190;A16;Dg;1;
190;A16;Fr;0.66;
190;A16;Ga;0;
190;A16;Hl;1;
190;A16;Hp;1;
190;A16;Lp;0.8;
190;A16;Pg;1;
190;A16;Pm;0;
190;A16;Pt;0.15;
190;A16;Ra;1;
190;A16;Sp;0;
190;A16;To;0.5;
191;A16;Am;0.1;
191;A16;Dg;0.75;
191;A16;Sp;0;
192;A16;Cb;0.33;
192;A16;Ga;0;
192;A16;Hl;1;
192;A16;Lp;1;
192;A16;Pt;0.1;
192;A16;Ra;0;
192;A16;To;0.25;
193;A16;Am;0;
193;A16;Dc;0.6;
193;A16;Lp;1;
193;A16;To;1;
194;A16;Dc;0.7;
194;A16;Lp;1;
194;A16;Pm;0;
194;A16;To;1;
195;A16;Be;1;
195;A16;Ga;0;
195;A16;Pm;0;
195;A16;To;0.8;
196;A16;Dg;1;
196;A16;Ga;0;
196;A16;Hl;1;
196;A16;Lp;1;
196;A16;Pt;0;
196;A16;To;1;
197;A16;Lp;0.8;
198;A16;Sp;0.1;
199;A16;Fr;0.25;
200;A16;Dg;1;
200;A16;Ga;0;
200;A16;Ra;1;
201;A16;Am;0;
201;A16;Ao;0.8;
201;A16;Fr;0.5;
201;A16;Hp;1;
202;A16;Cb;1;
203;A16;Am;0;
203;A16;Be;0.66;
203;A16;Cj;0.5;
203;A16;Dc;0.55;
203;A16;Fr;0.5;
203;A16;Pg;0.8;
203;A16;Pm;0;
203;A16;Sp;0;
204;A16;Ao;1;
204;A16;Be;0.5;
204;A16;Cj;0.83;
204;A16;Dc;NA;set to associated monoculture value
204;A16;Fr;0.75;
204;A16;Pg;1;
204;A16;Pm;0;
204;A16;Sp;0.2;
205;A16;Cb;1;
205;A16;Ga;0;
205;A16;Lp;1;
205;A16;Pt;0.15;
205;A16;Ra;0.5;
205;A16;To;1;
206;A16;Ga;0;
206;A16;Hl;1;
206;A16;Lp;1;
206;A16;Pt;0.4;
206;A16;Ra;0;
206;A16;To;0.5;
207;A16;Cj;1;
207;A16;Dg;1;
207;A16;Sp;0.5;
207;A16;To;0.5;
208;A16;Ao;0.88;
208;A16;Cj;0.75;
208;A16;Fr;1;
208;A16;Pg;0.5;
209;A16;Ao;0.63;
209;A16;Cj;1;
209;A16;Hp;1;
209;A16;Pg;0.66;
211;A16;Am;0;
211;A16;Ao;NA;set to associated monoculture value
211;A16;Be;0.6;
211;A16;Cj;0.76;
211;A16;Dc;0.55;
211;A16;Hp;1;
211;A16;Pm;0;
211;A16;Sp;0.5;
212;A16;To;1;
213;A16;Am;0;
213;A16;Be;1;
213;A16;Cj;0.9;
213;A16;Dc;0.66;
213;A16;Hp;1;
213;A16;Pg;0.66;
213;A16;Pm;0;
213;A16;Sp;0;
214;A16;Dg;0.85;
214;A16;Lp;0.9;
214;A16;Ra;1;
215;A16;Fr;0.5;
215;A16;Pt;0.33;
215;A16;Ra;1;
215;A16;Sp;0.15;
216;A16;Hp;1;
217;A16;Ao;1;
217;A16;Be;1;
