"Plot;Harvest;Species;Abundance"
"59;A16;Pm;0.015228426"
"59;A16;Pt;0.010152284"
"59;A16;Ra;0.152284264"
"59;A16;Sp;0.030456853"
"59;A16;To;0.121827411"
"60;A16;Cb;1"
"61;A16;Dg;0.024691358"
"61;A16;Ga;0.061728395"
"61;A16;Hl;0.012345679"
"61;A16;Lp;0.308641975"
"61;A16;Pt;0.037037037"
"61;A16;To;0.555555556"
"62;A16;Am;0.222222222"
"62;A16;Ao;0.022222222"
"62;A16;Be;0.022222222"
"62;A16;Fr;0.066666667"
"62;A16;Hp;0.022222222"
"62;A16;Pg;0.022222222"
"62;A16;Pm;0.066666667"
"62;A16;Sp;0.555555556"
"63;A16;Cb;0.421686747"
"63;A16;Dg;0.012048193"
"63;A16;Ga;0.024096386"
"63;A16;Hl;0"
"63;A16;Lp;0.240963855"
"63;A16;To;0.301204819"
"64;A16;Cb;0.362318841"
"64;A16;Ga;0.144927536"
"64;A16;Hl;0.057971014"
"64;A16;Lp;0.434782609"
"65;A16;Cb;0.243902439"
"65;A16;Dg;0.032520325"
"65;A16;Ga;0.024390244"
"65;A16;Lp;0.243902439"
"65;A16;Pt;0.016260163"
"65;A16;Ra;0.195121951"
"65;A16;To;0.243902439"
"66;A16;Am;0.363636364"
"66;A16;Dg;0.03030303"
"66;A16;Sp;0.606060606"
"67;A16;Hp;1"
"68;A16;Ao;0.011235955"
"68;A16;Cj;0.224719101"
"68;A16;Fr;0.730337079"
"68;A16;Pg;0.033707865"
"69;A16;Cb;0.151515152"
"69;A16;Dg;0.212121212"
"69;A16;Ga;0.045454545"
"69;A16;Hl;0.121212121"
"69;A16;Ra;0.242424242"
"69;A16;To;0.227272727"
"70;A16;Cj;0.178571429"
"70;A16;Fr;0.357142857"
"70;A16;Ga;0.05952381"
"70;A16;Pm;0.023809524"
"70;A16;Pt;0.083333333"
"70;A16;Sp;0.119047619"
"70;A16;To;0.178571429"
"71;A16;Fr;1"
"72;A16;Dc;0.048387097"
"72;A16;Dg;0.048387097"
"72;A16;Ga;0.032258065"
"72;A16;Hl;0.048387097"
"72;A16;Hp;0.064516129"
"72;A16;Lp;0.64516129"
"72;A16;Pg;0.048387097"
"72;A16;Pm;0.064516129"
"73;A16;Be;0"
"73;A16;Dc;0.238095238"
"73;A16;Ga;0"
"73;A16;Lp;0.555555556"
"73;A16;Pg;0.079365079"
"73;A16;Pm;0.047619048"
"73;A16;Ra;0.079365079"
"74;A16;Dg;0.125"
"74;A16;Lp;0.6875"
"74;A16;Pt;0.1875"
"75;A16;Be;0"
"75;A16;Ga;0.23255814"
"75;A16;Pm;0.186046512"
"75;A16;To;0.581395349"
"76;A16;Am;0.125"
"76;A16;Ao;0.015625"
"76;A16;Cb;0.390625"
"76;A16;Ga;0.109375"
"76;A16;Pm;0.046875"
"76;A16;Sp;0.3125"
"77;A16;Am;0.172413793"
"77;A16;Ga;0.08045977"
"77;A16;Lp;0.689655172"
"77;A16;Sp;0.057471264"
"78;A16;Ga;1"
"79;A16;Sp;1"
"80;A16;Cb;0.12345679"
"80;A16;Ga;0.024691358"
"80;A16;Lp;0.37037037"
"80;A16;Pt;0.12345679"
"80;A16;Ra;0.185185185"
"80;A16;To;0.172839506"
"82;A16;Am;0.555555556"
"82;A16;Ao;0.018518519"
"82;A16;Be;0.018518519"
"82;A16;Cj;0.074074074"
"82;A16;Dc;0.12962963"
"82;A16;Hp;0.074074074"
"82;A16;Pm;0.037037037"
"82;A16;Sp;0.092592593"
"83;A16;Am;0.157894737"
"83;A16;Ao;0"
"83;A16;Be;0.031578947"
"83;A16;Cb;0.010526316"
"83;A16;Cj;0.126315789"
"83;A16;Dc;0.042105263"
"83;A16;Dg;0.010526316"
"83;A16;Fr;0.157894737"
"83;A16;Ga;0.021052632"
"83;A16;Hl;0.073684211"
"83;A16;Hp;0.021052632"
"83;A16;Lp;0.157894737"
"83;A16;Pg;0.010526316"
"83;A16;Pm;0.010526316"
"83;A16;Pt;0.073684211"
"83;A16;Ra;0.042105263"
"83;A16;Sp;0.031578947"
"83;A16;To;0.021052632"
"84;A16;Cb;0.103448276"
"84;A16;Ga;0.114942529"
"84;A16;Hl;0.057471264"
"84;A16;Lp;0.229885057"
"84;A16;Pt;0.022988506"
"84;A16;Ra;0.402298851"
"84;A16;To;0.068965517"
"85;A16;Am;0.056338028"
"85;A16;Be;0.014084507"
"85;A16;Cj;0.281690141"
"85;A16;Dc;0.14084507"
"85;A16;Fr;0.281690141"
"85;A16;Pg;0.056338028"
"85;A16;Pm;0.028169014"
"85;A16;Sp;0.14084507"
"86;A16;Cb;0.476190476"
"86;A16;Dg;0.023809524"
"86;A16;Ga;0.178571429"
"86;A16;Hl;0"
"86;A16;Pt;0.023809524"
"86;A16;To;0.297619048"
"87;A16;Be;0.028571429"
"87;A16;Dc;0.142857143"
"87;A16;Ga;0.214285714"
"87;A16;Lp;0.214285714"
"87;A16;Pg;0.114285714"
"87;A16;Pm;0.071428571"
"87;A16;Ra;0.214285714"
"88;A16;Pg;1"
"89;A16;Cb;0.459770115"
"89;A16;Ga;0.034482759"
"89;A16;Lp;0.229885057"
"89;A16;Pt;0.034482759"
"89;A16;Ra;0.011494253"
"89;A16;To;0.229885057"
"90;A16;Am;0.38961039"
"90;A16;Ao;0.038961039"
"90;A16;Dg;0.25974026"
"90;A16;Hl;0.194805195"
"90;A16;Pg;0.051948052"
"90;A16;Pm;0.025974026"
"90;A16;Ra;0.038961039"
"91;A16;Ao;1"
"92;A16;Ao;0.109589041"
"92;A16;Cj;0.342465753"
"92;A16;Hp;0.479452055"
"92;A16;Pg;0.068493151"
"93;A16;Lp;1"
"94;A16;Cb;0.326086957"
"94;A16;Dg;0.163043478"
"94;A16;Ga;0.076086957"
"94;A16;Hl;0.054347826"
"94;A16;Ra;0.163043478"
"94;A16;To;0.217391304"
"95;A16;Dc;1"
"96;A16;Cj;1"
"97;A16;Fr;1"
"98;A16;Am;0.802469136"
"98;A16;Ao;0.012345679"
"98;A16;Be;0.049382716"
"98;A16;Cj;0.024691358"
"98;A16;Dc;0.024691358"
"98;A16;Hp;0.049382716"
"98;A16;Pm;0.012345679"
"98;A16;Sp;0.024691358"
"99;A16;Am;0.14084507"
"99;A16;Ao;0.009389671"
"99;A16;Be;0.009389671"
"99;A16;Cb;0.112676056"
"99;A16;Cj;0.093896714"
"99;A16;Dc;0.093896714"
"99;A16;Dg;0.014084507"
"99;A16;Fr;0.028169014"
"99;A16;Ga;0.093896714"
"99;A16;Hl;0.009389671"
"99;A16;Hp;0.009389671"
"99;A16;Lp;0.14084507"
"99;A16;Pg;0.009389671"
"99;A16;Pm;0.009389671"
"99;A16;Pt;0.009389671"
"99;A16;Ra;0.009389671"
"99;A16;Sp;0.093896714"
"99;A16;To;0.112676056"
"100;A16;Be;0.013793103"
"100;A16;Cb;0.827586207"
"100;A16;Dc;0.027586207"
"100;A16;Dg;0.013793103"
"100;A16;Hl;0.013793103"
"100;A16;Hp;0.013793103"
"100;A16;Pg;0.034482759"
"100;A16;Ra;0.055172414"
"101;A16;Dg;0.023809524"
"101;A16;Lp;0.083333333"
"101;A16;To;0.892857143"
"102;A16;Cb;0.934065934"
"102;A16;Ga;0.054945055"
"102;A16;Hl;0.010989011"
"103;A16;Cb;0.425531915"
"103;A16;Ga;0.042553191"
"103;A16;Hl;0.010638298"
"103;A16;Lp;0.074468085"
"103;A16;Pt;0.010638298"
"103;A16;Ra;0.010638298"
"103;A16;To;0.425531915"
"104;A16;Dg;0.120481928"
"104;A16;Lp;0.843373494"
"104;A16;Ra;0.036144578"
"105;A16;Am;0.142857143"
"105;A16;Ao;0.023809524"
"105;A16;Cb;0.773809524"
"105;A16;Ga;0.035714286"
"105;A16;Pm;0.011904762"
"105;A16;Sp;0.011904762"
"106;A16;Dg;0.180722892"
"106;A16;Lp;0.602409639"
"106;A16;Pt;0.120481928"
"106;A16;To;0.096385542"
"107;A16;Be;0.069444444"
"107;A16;Dc;0.069444444"
"107;A16;Fr;0.277777778"
"107;A16;Ga;0.083333333"
"107;A16;Lp;0.208333333"
"107;A16;Pt;0.055555556"
"107;A16;Sp;0.027777778"
"107;A16;To;0.208333333"
"108;A16;Cj;0.317647059"
"108;A16;Dg;0.176470588"
"108;A16;Sp;0.270588235"
"108;A16;To;0.235294118"
"109;A16;Hp;0.4"
"109;A16;Pg;0.133333333"
"109;A16;Pm;0.066666667"
"109;A16;Sp;0.4"
"110;A16;Cj;0.283018868"
"110;A16;Fr;0.216981132"
"110;A16;Ga;0.235849057"
"110;A16;Pm;0.018867925"
"110;A16;Pt;0.018867925"
"110;A16;Sp;0.216981132"
"110;A16;To;0.009433962"
"111;A16;Ao;0.066666667"
"111;A16;Dg;0.2"
"111;A16;Hp;0.333333333"
"111;A16;Ra;0.4"
"112;A16;Am;0.91954023"
"112;A16;Ao;0.034482759"
"112;A16;Dc;0.022988506"
"112;A16;Pm;0.022988506"
"113;A16;Cb;1"
"114;A16;Pt;1"
"115;A16;To;1"
"116;A16;Cb;0.738636364"
"116;A16;Ga;0.079545455"
"116;A16;Hl;0.011363636"
"116;A16;Lp;0.170454545"
"117;A16;Am;0.12195122"
"117;A16;Ao;0"
"117;A16;Be;0.012195122"
"117;A16;Cb;0.182926829"
"117;A16;Cj;0.06097561"
"117;A16;Dc;0.012195122"
"117;A16;Dg;0.012195122"
"117;A16;Fr;0.036585366"
"117;A16;Ga;0.012195122"
"117;A16;Hl;0.048780488"
"117;A16;Hp;0.048780488"
"117;A16;Lp;0.12195122"
"117;A16;Pg;0.036585366"
"117;A16;Pm;0.012195122"
"117;A16;Pt;0.048780488"
"117;A16;Ra;0.024390244"
"117;A16;Sp;0.024390244"
"117;A16;To;0.182926829"
"118;A16;Am;0.331125828"
"118;A16;Ao;0.01986755"
"118;A16;Be;0.013245033"
"118;A16;Cj;0.198675497"
"118;A16;Fr;0.331125828"
"118;A16;Hp;0.066225166"
"118;A16;Pg;0.026490066"
"118;A16;Sp;0.013245033"
"120;A16;Am;0.227272727"
"120;A16;Ao;0.011363636"
"120;A16;Be;0.113636364"
"120;A16;Cj;0.340909091"
"120;A16;Dc;0.056818182"
"120;A16;Fr;0.170454545"
"120;A16;Hp;0.022727273"
"120;A16;Pm;0.056818182"
"121;A16;Hp;1"
"122;A16;Dc;0.055555556"
"122;A16;Hl;0.208333333"
"122;A16;Hp;0.138888889"
"122;A16;Pg;0.111111111"
"122;A16;Pm;0.138888889"
"122;A16;To;0.347222222"
"123;A16;Ao;0.011111111"
"123;A16;Be;0.044444444"
"123;A16;Cb;0.077777778"
"123;A16;Cj;0.166666667"
"123;A16;Hl;0.022222222"
"123;A16;Hp;0.055555556"
"123;A16;Lp;0.611111111"
"123;A16;To;0.011111111"
"124;A16;Be;0.158730159"
"124;A16;Cj;0.634920635"
"124;A16;Dc;0.079365079"
"124;A16;Pm;0.126984127"
"125;A16;Ao;0.010752688"
"125;A16;Be;0.161290323"
"125;A16;Cj;0.215053763"
"125;A16;Dc;0.053763441"
"125;A16;Fr;0.322580645"
"125;A16;Pg;0.075268817"
"125;A16;Pm;0.053763441"
"125;A16;Sp;0.107526882"
"126;A16;Sp;1"
"127;A16;Ao;0.044117647"
"127;A16;Cj;0.294117647"
"127;A16;Fr;0.514705882"
"127;A16;Pg;0.147058824"
"128;A16;Ao;0.037974684"
"128;A16;Cj;0.696202532"
"128;A16;Dc;0.101265823"
"128;A16;Sp;0.164556962"
"129;A16;Dg;1"
"130;A16;Hl;1"
"131;A16;Cb;0.322580645"
"131;A16;Dg;0.043010753"
"131;A16;Ga;0.086021505"
"131;A16;Lp;0.129032258"
"131;A16;Pt;0.032258065"
"131;A16;Ra;0.064516129"
"131;A16;To;0.322580645"
"132;A16;Cb;0.375"
"132;A16;Dg;0.0625"
"132;A16;Ga;0.125"
"132;A16;Lp;0.25"
"132;A16;Pt;0.0625"
"132;A16;Ra;0.125"
"133;A16;Ao;0.040816327"
"133;A16;Dc;0.051020408"
"133;A16;Fr;0.816326531"
"133;A16;Pm;0.091836735"
"134;A16;Am;1"
"135;A16;Ga;0.119047619"
"135;A16;Hl;0.011904762"
"135;A16;Lp;0.416666667"
"135;A16;Pt;0.095238095"
"135;A16;Ra;0.023809524"
"135;A16;To;0.333333333"
"136;A16;Cb;0.378787879"
"136;A16;Dg;0.015151515"
"136;A16;Hl;0.015151515"
"136;A16;Lp;0.303030303"
"136;A16;Pt;0.060606061"
"136;A16;To;0.227272727"
"137;A16;Am;0.752688172"
"137;A16;Dg;0.086021505"
"137;A16;Sp;0.161290323"
"138;A16;Be;0.227272727"
"138;A16;Ga;0.454545455"
"138;A16;Pm;0.272727273"
"138;A16;To;0.045454545"
"139;A16;Cb;0.4375"
"139;A16;Dg;0.125"
"139;A16;Pt;0.1875"
"139;A16;To;0.25"
"140;A16;Dg;0.285714286"
"140;A16;Ga;0.357142857"
"140;A16;Ra;0.357142857"
"141;A16;Ao;0.028571429"
"141;A16;Be;0.028571429"
"141;A16;Cj;0.285714286"
"141;A16;Dc;0.142857143"
"141;A16;Fr;0.428571429"
"141;A16;Hp;0.057142857"
"141;A16;Pg;0.014285714"
"141;A16;Pm;0.014285714"
"142;A16;Dg;0.057971014"
"142;A16;Ga;0.362318841"
"142;A16;Ra;0.579710145"
"143;A16;Dc;0.142857143"
"143;A16;Lp;0.625"
"143;A16;Pm;0.160714286"
"143;A16;To;0.071428571"
"144;A16;Cb;0.510204082"
"144;A16;Hp;0.020408163"
"144;A16;Lp;0.459183673"
"144;A16;Pg;0.010204082"
"145;A16;Am;0.656565657"
"145;A16;Ga;0.121212121"
"145;A16;Lp;0.222222222"
"145;A16;Sp;0"
"146;A16;Ga;1"
"147;A16;Ao;0"
"147;A16;Cb;0.656565657"
"147;A16;Dg;0.01010101"
"147;A16;Ga;0.050505051"
"147;A16;Hp;0.050505051"
"147;A16;Pg;0.02020202"
"147;A16;Ra;0.202020202"
"147;A16;Sp;0.01010101"
"148;A16;Be;1"
"149;A16;Dc;0.137254902"
"149;A16;Hp;0.294117647"
"149;A16;Pg;0.176470588"
"149;A16;Sp;0.392156863"
"150;A16;Am;0.626262626"
"150;A16;Ao;0.02020202"
"150;A16;Be;0.015151515"
"150;A16;Cj;0.252525253"
"150;A16;Dc;0.02020202"
"150;A16;Pg;0.03030303"
"150;A16;Pm;0.015151515"
"150;A16;Sp;0.02020202"
"151;A16;Am;0.397727273"
"151;A16;Dc;0.034090909"
"151;A16;Lp;0.454545455"
"151;A16;To;0.113636364"
"152;A16;Fr;0.776699029"
"152;A16;Pt;0.029126214"
"152;A16;Ra;0.048543689"
"152;A16;Sp;0.145631068"
"153;A16;Am;0.601092896"
"153;A16;Be;0.027322404"
"153;A16;Cj;0.196721311"
"153;A16;Dc;0.021857923"
"153;A16;Hp;0.087431694"
"153;A16;Pg;0.016393443"
"153;A16;Pm;0.038251366"
"153;A16;Sp;0.010928962"
"154;A16;Dg;0.026666667"
"154;A16;Ga;0.053333333"
"154;A16;Hl;0.2"
"154;A16;Lp;0.533333333"
"154;A16;Pt;0.053333333"
"154;A16;To;0.133333333"
"155;A16;Am;0.583941606"
"155;A16;Ao;0.01459854"
"155;A16;Be;0.01459854"
"155;A16;Dc;0.02189781"
"155;A16;Fr;0.291970803"
"155;A16;Hp;0.04379562"
"155;A16;Pm;0.01459854"
"155;A16;Sp;0.01459854"
"157;A16;Am;0.689655172"
"157;A16;Ao;0.011494253"
"157;A16;Fr;0.287356322"
"157;A16;Hp;0.011494253"
"158;A16;Am;0.116959064"
"158;A16;Ao;0.011695906"
"158;A16;Be;0.023391813"
"158;A16;Cb;0.116959064"
"158;A16;Cj;0.116959064"
"158;A16;Dc;0.011695906"
"158;A16;Dg;0.011695906"
"158;A16;Fr;0.023391813"
"158;A16;Ga;0.023391813"
"158;A16;Hl;0.01754386"
"158;A16;Hp;0.035087719"
"158;A16;Lp;0.140350877"
"158;A16;Pg;0.011695906"
"158;A16;Pm;0.011695906"
"158;A16;Pt;0.011695906"
"158;A16;Ra;0.116959064"
"158;A16;Sp;0.023391813"
"158;A16;To;0.175438596"
"159;A16;Dg;0.051724138"
"159;A16;Lp;0.689655172"
"159;A16;Pt;0.25862069"
"160;A16;Am;0.341463415"
"160;A16;Cj;0.304878049"
"160;A16;Fr;0.268292683"
"160;A16;Hp;0.085365854"
"161;A16;Cb;0.326086957"
"161;A16;Dg;0.032608696"
"161;A16;Ga;0.086956522"
"161;A16;Hl;0.065217391"
"161;A16;Lp;0.27173913"
"161;A16;To;0.217391304"
"162;A16;Am;0.465116279"
"162;A16;Ao;0.011627907"
"162;A16;Be;0.011627907"
"162;A16;Fr;0.348837209"
"162;A16;Hp;0.023255814"
"162;A16;Pg;0.034883721"
"162;A16;Pm;0.046511628"
"162;A16;Sp;0.058139535"
"163;A16;Dc;0.011111111"
"163;A16;Dg;0.066666667"
"163;A16;Ga;0.222222222"
"163;A16;Hl;0.044444444"
"163;A16;Hp;0.088888889"
"163;A16;Lp;0.5"
"163;A16;Pg;0.044444444"
"163;A16;Pm;0.022222222"
"164;A16;Pm;1"
"165;A16;Dg;0.23255814"
"165;A16;Hl;0.069767442"
"165;A16;Pt;0.697674419"
"166;A16;Am;0.106382979"
"166;A16;Ao;0"
"166;A16;Be;0.021276596"
"166;A16;Cb;0.063829787"
"166;A16;Cj;0.159574468"
"166;A16;Dc;0.031914894"
"166;A16;Dg;0.010638298"
"166;A16;Fr;0.106382979"
"166;A16;Ga;0.053191489"
"166;A16;Hl;0.021276596"
"166;A16;Hp;0.010638298"
"166;A16;Lp;0.159574468"
"166;A16;Pg;0.021276596"
"166;A16;Pm;0.031914894"
"166;A16;Pt;0.053191489"
"166;A16;Ra;0"
"166;A16;Sp;0.085106383"
"166;A16;To;0.063829787"
"167;A16;Ra;1"
"168;A16;Ao;0.2"
"168;A16;Dc;0.233333333"
"168;A16;Dg;0.2"
"168;A16;To;0.366666667"
"169;A16;Dg;1"
"170;A16;Am;0.217948718"
"170;A16;Ao;0.012820513"
"170;A16;Cb;0.448717949"
"170;A16;Ga;0.051282051"
"170;A16;Pm;0.012820513"
"170;A16;Sp;0.256410256"
"171;A16;Am;0.036363636"
"171;A16;Ao;0"
"171;A16;Be;0"
"171;A16;Cb;0.121212121"
"171;A16;Cj;0.060606061"
"171;A16;Dc;0.036363636"
"171;A16;Dg;0.024242424"
"171;A16;Fr;0.084848485"
"171;A16;Ga;0.018181818"
