Plot;Harvest;Species;Herbivory;Notes
40;J18;Pt;0.44;
40;J18;Ra;NA;set to associated monoculture value
40;J18;To;1.36;
41;J18;Am;0.2;
41;J18;Ao;NA;set to associated monoculture value
41;J18;Be;0.76;
41;J18;Cj;1.4;
41;J18;Dc;NA;set to associated monoculture value
41;J18;Fr;0.24;
41;J18;Hp;0.56;
41;J18;Pm;0.64;
42;J18;Be;0.28;
42;J18;Cj;1;
42;J18;Dc;NA;set to associated monoculture value
42;J18;Pm;0.72;
43;J18;Am;0.16;
43;J18;Ao;NA;set to associated monoculture value
43;J18;Be;0.8;
43;J18;Cb;0.4;
43;J18;Cj;0.96;
43;J18;Dc;NA;set to associated monoculture value
43;J18;Dg;0.76;
43;J18;Fr;0.32;
43;J18;Ga;0.4;
43;J18;Hl;0.6;
43;J18;Hp;0.4;
43;J18;Lp;0.56;
43;J18;Pg;0.4;
43;J18;Pm;0.36;
43;J18;Pt;0.36;
43;J18;Ra;NA;set to associated monoculture value
43;J18;Sp;0.56;
43;J18;To;1.6;
44;J18;Am;0.12;
44;J18;Ao;0.0555555555555556;
44;J18;Dg;0.4;
44;J18;Hl;0.32;
44;J18;Pg;0.16;
44;J18;Pm;0.56;
44;J18;Ra;NA;set to associated monoculture value
45;J18;Be;0.96;
46;J18;Am;0;
46;J18;Ao;NA;set to associated monoculture value
46;J18;Fr;0.08;
46;J18;Hp;0.52;
47;J18;Pg;0.24;
48;J18;Cb;0.32;
48;J18;Dg;0.16;
48;J18;Ga;0.84;
48;J18;Hl;0.24;
48;J18;Pt;0.08;
48;J18;To;1.68;
49;J18;Dc;NA;set to associated monoculture value
49;J18;Hl;0.4;
49;J18;Hp;NA;set to associated monoculture value
49;J18;Pg;0.16;
49;J18;Pm;0.8;
49;J18;To;1.52;
50;J18;Am;0.12;
50;J18;Ao;NA;set to associated monoculture value
50;J18;Be;0.44;
50;J18;Dc;NA;set to associated monoculture value
50;J18;Fr;0.28;
50;J18;Hp;0.56;
50;J18;Pm;0.48;
50;J18;Sp;1.6;
51;J18;Am;NA;set to associated monoculture value
51;J18;Be;NA;set to associated monoculture value
51;J18;Cj;NA;set to associated monoculture value
51;J18;Dc;NA;set to associated monoculture value
51;J18;Fr;NA;set to associated monoculture value
51;J18;Pg;NA;set to associated monoculture value
51;J18;Pm;NA;set to associated monoculture value
51;J18;Sp;NA;set to associated monoculture value
52;J18;To;1.72;
53;J18;Dg;0.44;
53;J18;Ga;0.88;
53;J18;Ra;2.36;
54;J18;Am;0.4;
54;J18;Ao;NA;set to associated monoculture value
54;J18;Be;0.32;
54;J18;Cj;1.16;
54;J18;Dc;0;
54;J18;Pg;0.24;
54;J18;Pm;0.76;
54;J18;Sp;0.88;
55;J18;Am;NA;set to associated monoculture value
55;J18;Ao;NA;set to associated monoculture value
55;J18;Dc;NA;set to associated monoculture value
55;J18;Pm;NA;set to associated monoculture value
56;J18;Cj;1.16;
57;J18;Am;NA;set to associated monoculture value
57;J18;Ao;NA;set to associated monoculture value
57;J18;Be;NA;set to associated monoculture value
57;J18;Cj;NA;set to associated monoculture value
57;J18;Fr;NA;set to associated monoculture value
57;J18;Hp;NA;set to associated monoculture value
57;J18;Pg;NA;set to associated monoculture value
57;J18;Sp;NA;set to associated monoculture value
58;J18;Dg;1;
58;J18;Ga;0.52;
58;J18;Ra;NA;set to associated monoculture value
59;J18;Am;0.04;
59;J18;Ao;NA;set to associated monoculture value
59;J18;Be;0.16;
59;J18;Cb;0.28;
59;J18;Cj;0.56;
59;J18;Dc;0;
59;J18;Dg;0.84;
59;J18;Fr;0.16;
59;J18;Ga;0.96;
59;J18;Hl;0.28;
59;J18;Hp;0.64;
59;J18;Lp;0.19047619047619;
59;J18;Pg;0.16;
59;J18;Pm;0.36;
59;J18;Pt;0.44;
59;J18;Ra;NA;set to associated monoculture value
59;J18;Sp;1.2;
59;J18;To;1.4;
60;J18;Cb;0.56;
61;J18;Dg;NA;set to associated monoculture value
61;J18;Ga;NA;set to associated monoculture value
61;J18;Hl;NA;set to associated monoculture value
61;J18;Lp;NA;set to associated monoculture value
61;J18;Pt;NA;set to associated monoculture value
61;J18;To;NA;set to associated monoculture value
62;J18;Am;NA;set to associated monoculture value
62;J18;Ao;NA;set to associated monoculture value
62;J18;Be;NA;set to associated monoculture value
62;J18;Fr;NA;set to associated monoculture value
62;J18;Hp;NA;set to associated monoculture value
62;J18;Pg;NA;set to associated monoculture value
62;J18;Pm;NA;set to associated monoculture value
62;J18;Sp;NA;set to associated monoculture value
63;J18;Cb;NA;set to associated monoculture value
63;J18;Dg;NA;set to associated monoculture value
63;J18;Ga;NA;set to associated monoculture value
63;J18;Hl;NA;set to associated monoculture value
63;J18;Lp;NA;set to associated monoculture value
63;J18;To;NA;set to associated monoculture value
64;J18;Cb;NA;set to associated monoculture value
64;J18;Ga;NA;set to associated monoculture value
64;J18;Hl;NA;set to associated monoculture value
64;J18;Lp;NA;set to associated monoculture value
65;J18;Cb;NA;set to associated monoculture value
65;J18;Dg;NA;set to associated monoculture value
65;J18;Ga;NA;set to associated monoculture value
65;J18;Lp;NA;set to associated monoculture value
65;J18;Pt;NA;set to associated monoculture value
65;J18;Ra;NA;set to associated monoculture value
65;J18;To;NA;set to associated monoculture value
66;J18;Am;0;
66;J18;Dg;0.8;
66;J18;Sp;1.04;
67;J18;Hp;0.4;
68;J18;Ao;NA;set to associated monoculture value
68;J18;Cj;0.68;
68;J18;Fr;0.12;
68;J18;Pg;0.4;
69;J18;Cb;0.28;
69;J18;Dg;0.44;
69;J18;Ga;0.76;
69;J18;Hl;0.2;
69;J18;Ra;2.76;
69;J18;To;0.36;
70;J18;Cj;0.76;
70;J18;Fr;0.12;
70;J18;Ga;0.96;
70;J18;Pm;0.6;
70;J18;Pt;0.2;
70;J18;Sp;1.24;
70;J18;To;1.05882352941176;
71;J18;Fr;0.08;
72;J18;Dc;NA;set to associated monoculture value
72;J18;Dg;NA;set to associated monoculture value
72;J18;Ga;NA;set to associated monoculture value
72;J18;Hl;NA;set to associated monoculture value
72;J18;Hp;NA;set to associated monoculture value
72;J18;Lp;NA;set to associated monoculture value
72;J18;Pg;NA;set to associated monoculture value
72;J18;Pm;NA;set to associated monoculture value
73;J18;Be;NA;set to associated monoculture value
73;J18;Dc;NA;set to associated monoculture value
73;J18;Ga;NA;set to associated monoculture value
73;J18;Lp;NA;set to associated monoculture value
73;J18;Pg;NA;set to associated monoculture value
73;J18;Pm;NA;set to associated monoculture value
73;J18;Ra;NA;set to associated monoculture value
74;J18;Dg;0.32;
74;J18;Lp;0.44;
74;J18;Pt;0.28;
75;J18;Be;0.36;
75;J18;Ga;0.48;
75;J18;Pm;0.92;
75;J18;To;0.96;
76;J18;Am;NA;set to associated monoculture value
76;J18;Ao;NA;set to associated monoculture value
76;J18;Cb;NA;set to associated monoculture value
76;J18;Ga;NA;set to associated monoculture value
76;J18;Pm;NA;set to associated monoculture value
76;J18;Sp;NA;set to associated monoculture value
77;J18;Am;NA;set to associated monoculture value
77;J18;Ga;NA;set to associated monoculture value
77;J18;Lp;NA;set to associated monoculture value
77;J18;Sp;NA;set to associated monoculture value
78;J18;Ga;1.12;
79;J18;Sp;1.84;
80;J18;Cb;0.68;
80;J18;Ga;0.76;
80;J18;Lp;0.6;
80;J18;Pt;0.48;
80;J18;Ra;2.64;
80;J18;To;0.88;
82;J18;Am;0.16;
82;J18;Ao;NA;set to associated monoculture value
82;J18;Be;0.24;
82;J18;Cj;1.12;
82;J18;Dc;NA;set to associated monoculture value
82;J18;Hp;0.28;
82;J18;Pm;0.4;
82;J18;Sp;1.4;
83;J18;Am;0.28;
83;J18;Ao;NA;set to associated monoculture value
83;J18;Be;0.12;
83;J18;Cb;0.92;
83;J18;Cj;1.04;
83;J18;Dc;NA;set to associated monoculture value
83;J18;Dg;0.4;
83;J18;Fr;0.2;
83;J18;Ga;1.12;
83;J18;Hl;0;
83;J18;Hp;0.76;
83;J18;Lp;0.08;
83;J18;Pg;0.2;
83;J18;Pm;0.44;
83;J18;Pt;0.4;
83;J18;Ra;3;
83;J18;Sp;1.28;
83;J18;To;1.04;
84;J18;Cb;NA;set to associated monoculture value
84;J18;Ga;NA;set to associated monoculture value
84;J18;Hl;NA;set to associated monoculture value
84;J18;Lp;NA;set to associated monoculture value
84;J18;Pt;NA;set to associated monoculture value
84;J18;Ra;NA;set to associated monoculture value
84;J18;To;NA;set to associated monoculture value
85;J18;Am;NA;set to associated monoculture value
85;J18;Be;NA;set to associated monoculture value
85;J18;Cj;NA;set to associated monoculture value
85;J18;Dc;NA;set to associated monoculture value
85;J18;Fr;NA;set to associated monoculture value
85;J18;Pg;NA;set to associated monoculture value
85;J18;Pm;NA;set to associated monoculture value
85;J18;Sp;NA;set to associated monoculture value
86;J18;Cb;0.28;
86;J18;Dg;0.636363636363636;
86;J18;Ga;1.24;
86;J18;Hl;0.16;
86;J18;Pt;0.142857142857143;
86;J18;To;1.28;
87;J18;Be;NA;set to associated monoculture value
87;J18;Dc;NA;set to associated monoculture value
87;J18;Ga;NA;set to associated monoculture value
87;J18;Lp;NA;set to associated monoculture value
87;J18;Pg;NA;set to associated monoculture value
87;J18;Pm;NA;set to associated monoculture value
87;J18;Ra;NA;set to associated monoculture value
88;J18;Pg;0.32;
89;J18;Cb;0.56;
89;J18;Ga;0.48;
89;J18;Lp;0.12;
89;J18;Pt;0.28;
89;J18;Ra;NA;set to associated monoculture value
89;J18;To;0.72;
90;J18;Am;0;
90;J18;Ao;NA;set to associated monoculture value
90;J18;Dg;0.32;
90;J18;Hl;0.142857142857143;
90;J18;Pg;0.48;
90;J18;Pm;0.2;
90;J18;Ra;NA;set to associated monoculture value
91;J18;Ao;0.12;
92;J18;Ao;NA;set to associated monoculture value
92;J18;Cj;NA;set to associated monoculture value
92;J18;Hp;NA;set to associated monoculture value
92;J18;Pg;NA;set to associated monoculture value
93;J18;Lp;0.28;
94;J18;Cb;0.96;
94;J18;Dg;0.28;
94;J18;Ga;0.4;
94;J18;Hl;0.2;
94;J18;Ra;NA;set to associated monoculture value
94;J18;To;1.66666666666667;
95;J18;Dc;0;Monoculture value zero. Set to half of lowest observed herbivory value in monocultures.
96;J18;Cj;1.24;
97;J18;Fr;0.16;
98;J18;Am;0.04;
98;J18;Ao;NA;set to associated monoculture value
98;J18;Be;0.24;
98;J18;Cj;0.16;
98;J18;Dc;NA;set to associated monoculture value
98;J18;Hp;0.28;
98;J18;Pm;0.44;
98;J18;Sp;0.84;
99;J18;Am;0.16;
99;J18;Ao;NA;set to associated monoculture value
99;J18;Be;0.36;
99;J18;Cb;0.44;
99;J18;Cj;0.68;
99;J18;Dc;NA;set to associated monoculture value
99;J18;Dg;0.6;
99;J18;Fr;0.36;
99;J18;Ga;0.72;
99;J18;Hl;NA;set to associated monoculture value
99;J18;Hp;0.16;
99;J18;Lp;0.12;
99;J18;Pg;0.24;
99;J18;Pm;0.4;
99;J18;Pt;0.16;
99;J18;Ra;NA;set to associated monoculture value
99;J18;Sp;0.2;
99;J18;To;0.44;
100;J18;Be;0.12;
100;J18;Cb;0.6;
100;J18;Dc;0.2;
100;J18;Dg;0.416666666666667;
100;J18;Hl;0.08;
100;J18;Hp;0.16;
100;J18;Pg;0.32;
100;J18;Ra;2.64;
101;J18;Dg;NA;set to associated monoculture value
101;J18;Lp;NA;set to associated monoculture value
101;J18;To;NA;set to associated monoculture value
102;J18;Cb;0.44;
102;J18;Ga;1.12;
102;J18;Hl;0.28;
103;J18;Cb;NA;set to associated monoculture value
103;J18;Ga;NA;set to associated monoculture value
103;J18;Hl;NA;set to associated monoculture value
103;J18;Lp;NA;set to associated monoculture value
103;J18;Pt;NA;set to associated monoculture value
103;J18;Ra;NA;set to associated monoculture value
103;J18;To;NA;set to associated monoculture value
104;J18;Dg;NA;set to associated monoculture value
104;J18;Lp;NA;set to associated monoculture value
104;J18;Ra;NA;set to associated monoculture value
105;J18;Am;NA;set to associated monoculture value
105;J18;Ao;NA;set to associated monoculture value
105;J18;Cb;NA;set to associated monoculture value
105;J18;Ga;NA;set to associated monoculture value
105;J18;Pm;NA;set to associated monoculture value
105;J18;Sp;NA;set to associated monoculture value
106;J18;Dg;0.32;
106;J18;Lp;0.2;
106;J18;Pt;0.16;
106;J18;To;0.68;
107;J18;Be;0.44;
107;J18;Dc;0.08;
107;J18;Fr;0.28;
107;J18;Ga;0.44;
107;J18;Lp;0.16;
107;J18;Pt;0.08;
107;J18;Sp;0.76;
107;J18;To;0.56;
108;J18;Cj;1.2;
108;J18;Dg;0.12;
108;J18;Sp;1;
108;J18;To;0.72;
109;J18;Hp;0.2;
109;J18;Pg;0.68;
109;J18;Pm;0.84;
109;J18;Sp;0.6;
110;J18;Cj;0.84;
110;J18;Fr;0.36;
110;J18;Ga;0.72;
110;J18;Pm;0.64;
110;J18;Pt;0.24;
110;J18;Sp;1.6;
110;J18;To;0.684210526315789;
111;J18;Ao;NA;set to associated monoculture value
111;J18;Dg;NA;set to associated monoculture value
111;J18;Hp;NA;set to associated monoculture value
111;J18;Ra;NA;set to associated monoculture value
112;J18;Am;NA;set to associated monoculture value
112;J18;Ao;NA;set to associated monoculture value
112;J18;Dc;NA;set to associated monoculture value
112;J18;Pm;NA;set to associated monoculture value
113;J18;Cb;0.4;
114;J18;Pt;0.48;
115;J18;To;1.2;
116;J18;Cb;NA;set to associated monoculture value
116;J18;Ga;NA;set to associated monoculture value
116;J18;Hl;NA;set to associated monoculture value
116;J18;Lp;NA;set to associated monoculture value
117;J18;Am;0.04;
117;J18;Ao;NA;set to associated monoculture value
117;J18;Be;0.32;
117;J18;Cb;0.16;
117;J18;Cj;0.88;
117;J18;Dc;NA;set to associated monoculture value
117;J18;Dg;0.8;
117;J18;Fr;0.08;
117;J18;Ga;0.56;
117;J18;Hl;0.16;
117;J18;Hp;0.44;
117;J18;Lp;0.2;
117;J18;Pg;0.44;
117;J18;Pm;0.130434782608696;
117;J18;Pt;0;
117;J18;Ra;NA;set to associated monoculture value
117;J18;Sp;0.48;
117;J18;To;0.4;
118;J18;Am;NA;set to associated monoculture value
118;J18;Ao;NA;set to associated monoculture value
118;J18;Be;NA;set to associated monoculture value
118;J18;Cj;NA;set to associated monoculture value
118;J18;Fr;NA;set to associated monoculture value
118;J18;Hp;NA;set to associated monoculture value
118;J18;Pg;NA;set to associated monoculture value
118;J18;Sp;NA;set to associated monoculture value
120;J18;Am;0.28;
120;J18;Ao;NA;set to associated monoculture value
120;J18;Be;0.2;
120;J18;Cj;1.24;
120;J18;Dc;NA;set to associated monoculture value
120;J18;Fr;0.44;
120;J18;Hp;0.64;
120;J18;Pm;0.28;
121;J18;Hp;0.52;
122;J18;Dc;0.24;
122;J18;Hl;0.48;
122;J18;Hp;0.88;
122;J18;Pg;0.28;
122;J18;Pm;0.52;
122;J18;To;1.56;
123;J18;Ao;NA;set to associated monoculture value
123;J18;Be;NA;set to associated monoculture value
123;J18;Cb;NA;set to associated monoculture value
123;J18;Cj;NA;set to associated monoculture value
123;J18;Hl;NA;set to associated monoculture value
123;J18;Hp;NA;set to associated monoculture value
123;J18;Lp;NA;set to associated monoculture value
123;J18;To;NA;set to associated monoculture value
124;J18;Be;0.76;
124;J18;Cj;0.88;
124;J18;Dc;0.166666666666667;
124;J18;Pm;0.36;
125;J18;Ao;NA;set to associated monoculture value
125;J18;Be;0.28;
125;J18;Cj;0.84;
125;J18;Dc;0.25;
125;J18;Fr;0.12;
125;J18;Pg;0.44;
125;J18;Pm;0.64;
125;J18;Sp;1.16;
126;J18;Sp;1.16;
127;J18;Ao;NA;set to associated monoculture value
127;J18;Cj;1.04;
127;J18;Fr;0.08;
127;J18;Pg;0.28;
128;J18;Ao;NA;set to associated monoculture value
128;J18;Cj;NA;set to associated monoculture value
128;J18;Dc;NA;set to associated monoculture value
128;J18;Sp;NA;set to associated monoculture value
129;J18;Dg;0.64;
130;J18;Hl;0.24;
131;J18;Cb;NA;set to associated monoculture value
131;J18;Dg;NA;set to associated monoculture value
131;J18;Ga;NA;set to associated monoculture value
131;J18;Lp;NA;set to associated monoculture value
131;J18;Pt;NA;set to associated monoculture value
131;J18;Ra;NA;set to associated monoculture value
131;J18;To;NA;set to associated monoculture value
132;J18;Cb;NA;set to associated monoculture value
132;J18;Dg;NA;set to associated monoculture value
132;J18;Ga;NA;set to associated monoculture value
132;J18;Lp;NA;set to associated monoculture value
132;J18;Pt;NA;set to associated monoculture value
132;J18;Ra;NA;set to associated monoculture value
133;J18;Ao;NA;set to associated monoculture value
133;J18;Dc;NA;set to associated monoculture value
133;J18;Fr;NA;set to associated monoculture value
133;J18;Pm;NA;set to associated monoculture value
134;J18;Am;0.04;
135;J18;Ga;0.8;
135;J18;Hl;0.12;
135;J18;Lp;0.52;
135;J18;Pt;0.08;
135;J18;Ra;NA;set to associated monoculture value
135;J18;To;0.96;
136;J18;Cb;0.52;
136;J18;Dg;0.68;
136;J18;Hl;0.4;
136;J18;Lp;0.12;
136;J18;Pt;0.32;
136;J18;To;0.72;
137;J18;Am;0.28;
137;J18;Dg;0.4;
137;J18;Sp;0.72;
138;J18;Be;0.2;
138;J18;Ga;0.68;
138;J18;Pm;0.76;
138;J18;To;NA;set to associated monoculture value
139;J18;Cb;NA;set to associated monoculture value
139;J18;Dg;NA;set to associated monoculture value
139;J18;Pt;NA;set to associated monoculture value
139;J18;To;NA;set to associated monoculture value
140;J18;Dg;0.84;
140;J18;Ga;1.08;
140;J18;Ra;NA;set to associated monoculture value
141;J18;Ao;NA;set to associated monoculture value
141;J18;Be;NA;set to associated monoculture value
141;J18;Cj;NA;set to associated monoculture value
141;J18;Dc;NA;set to associated monoculture value
141;J18;Fr;NA;set to associated monoculture value
141;J18;Hp;NA;set to associated monoculture value
141;J18;Pg;NA;set to associated monoculture value
141;J18;Pm;NA;set to associated monoculture value
142;J18;Dg;0.76;
142;J18;Ga;0.92;
142;J18;Ra;2.68;
143;J18;Dc;NA;set to associated monoculture value
143;J18;Lp;NA;set to associated monoculture value
143;J18;Pm;NA;set to associated monoculture value
143;J18;To;NA;set to associated monoculture value
144;J18;Cb;0.64;
144;J18;Hp;0.84;
144;J18;Lp;0.24;
144;J18;Pg;0.36;
145;J18;Am;NA;set to associated monoculture value
145;J18;Ga;NA;set to associated monoculture value
145;J18;Lp;NA;set to associated monoculture value
145;J18;Sp;NA;set to associated monoculture value
146;J18;Ga;0.76;
147;J18;Ao;NA;set to associated monoculture value
147;J18;Cb;NA;set to associated monoculture value
147;J18;Dg;NA;set to associated monoculture value
147;J18;Ga;NA;set to associated monoculture value
147;J18;Hp;NA;set to associated monoculture value
147;J18;Pg;NA;set to associated monoculture value
147;J18;Ra;NA;set to associated monoculture value
147;J18;Sp;NA;set to associated monoculture value
148;J18;Be;0.08;
149;J18;Dc;NA;set to associated monoculture value
149;J18;Hp;0.32;
149;J18;Pg;0.84;
149;J18;Sp;1.16;
150;J18;Am;0.12;
150;J18;Ao;0.3125;
150;J18;Be;0.08;
150;J18;Cj;0.8;
150;J18;Dc;NA;set to associated monoculture value
150;J18;Pg;0.36;
150;J18;Pm;0.36;
150;J18;Sp;0.8;
151;J18;Am;NA;set to associated monoculture value
151;J18;Dc;NA;set to associated monoculture value
151;J18;Lp;NA;set to associated monoculture value
151;J18;To;NA;set to associated monoculture value
152;J18;Fr;0.4;
152;J18;Pt;0.444444444444444;
152;J18;Ra;NA;set to associated monoculture value
152;J18;Sp;1.36;
153;J18;Am;NA;set to associated monoculture value
153;J18;Be;NA;set to associated monoculture value
153;J18;Cj;NA;set to associated monoculture value
153;J18;Dc;NA;set to associated monoculture value
153;J18;Hp;NA;set to associated monoculture value
153;J18;Pg;NA;set to associated monoculture value
153;J18;Pm;NA;set to associated monoculture value
153;J18;Sp;NA;set to associated monoculture value
154;J18;Dg;NA;set to associated monoculture value
154;J18;Ga;NA;set to associated monoculture value
154;J18;Hl;NA;set to associated monoculture value
154;J18;Lp;NA;set to associated monoculture value
154;J18;Pt;NA;set to associated monoculture value
154;J18;To;NA;set to associated monoculture value
155;J18;Am;0.08;
155;J18;Ao;NA;set to associated monoculture value
155;J18;Be;0.6;
155;J18;Dc;NA;set to associated monoculture value
155;J18;Fr;0.08;
155;J18;Hp;0.76;
155;J18;Pm;0.72;
155;J18;Sp;1.08;
157;J18;Am;0;
157;J18;Ao;NA;set to associated monoculture value
157;J18;Fr;0.08;
157;J18;Hp;0.52;
158;J18;Am;0;
158;J18;Ao;NA;set to associated monoculture value
158;J18;Be;0.48;
158;J18;Cb;0.8;
158;J18;Cj;1.04;
158;J18;Dc;NA;set to associated monoculture value
158;J18;Dg;0;
158;J18;Fr;0.08;
158;J18;Ga;0.4;
158;J18;Hl;0.909090909090909;
158;J18;Hp;0.08;
158;J18;Lp;0.6;
158;J18;Pg;0.84;
158;J18;Pm;0.92;
158;J18;Pt;0.24;
158;J18;Ra;NA;set to associated monoculture value
158;J18;Sp;1;
158;J18;To;1.24;
159;J18;Dg;0.64;
159;J18;Lp;0.4;
159;J18;Pt;0.08;
160;J18;Am;NA;set to associated monoculture value
160;J18;Cj;NA;set to associated monoculture value
160;J18;Fr;NA;set to associated monoculture value
160;J18;Hp;NA;set to associated monoculture value
161;J18;Cb;NA;set to associated monoculture value
161;J18;Dg;NA;set to associated monoculture value
161;J18;Ga;NA;set to associated monoculture value
161;J18;Hl;NA;set to associated monoculture value
161;J18;Lp;NA;set to associated monoculture value
161;J18;To;NA;set to associated monoculture value
162;J18;Am;NA;set to associated monoculture value
162;J18;Ao;NA;set to associated monoculture value
