plot.num,blk,plot,plotid,enemy,resources,diversity,spp,species.id,provenance,func.2,month,year,percov
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Digitaria sanguinalis,Exotic,C4,May-14,2014,0.5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Erigeron annuus,Native,Forb,Jun-13,2013,4
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Erigeron annuus,Native,Forb,Sep-12,2012,3
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Fragaria sp,UNK,Forb,Jul-14,2014,4
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Fragaria sp,UNK,Forb,May-14,2014,2
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Fragaria sp,UNK,Forb,Sep-14,2014,9
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Fragaria sp,UNK,Forb,Sep-15,2015,3
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Gamochaeta purpurea,Native,Forb,Jun-13,2013,0.5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Holcus lanatus,Exotic,C3,Jul-14,2014,25
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Holcus lanatus,Exotic,C3,Jun-13,2013,15
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Holcus lanatus,Exotic,C3,May-14,2014,25
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Holcus lanatus,Exotic,C3,Sep-12,2012,2
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Holcus lanatus,Exotic,C3,Sep-13,2013,2
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Holcus lanatus,Exotic,C3,Sep-14,2014,20
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Holcus lanatus,Exotic,C3,Sep-15,2015,5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Lonicera japonica,Exotic,Woody,Jul-14,2014,2
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Lonicera japonica,Exotic,Woody,May-14,2014,0.5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Lonicera japonica,Exotic,Woody,Sep-13,2013,2
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Lonicera japonica,Exotic,Woody,Sep-14,2014,8
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Lonicera japonica,Exotic,Woody,Sep-15,2015,15
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Oxalis dillenii,Native,Forb,Jul-14,2014,1
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Oxalis dillenii,Native,Forb,Jun-13,2013,2
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Oxalis dillenii,Native,Forb,May-14,2014,0.5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Oxalis dillenii,Native,Forb,Sep-12,2012,2
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Oxalis dillenii,Native,Forb,Sep-13,2013,1
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Oxalis dillenii,Native,Forb,Sep-14,2014,4
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Oxalis dillenii,Native,Forb,Sep-15,2015,5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Packera anonyma,Native,Forb,Jul-14,2014,2
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Packera anonyma,Native,Forb,Jun-13,2013,20
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Packera anonyma,Native,Forb,May-14,2014,8
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Packera anonyma,Native,Forb,Sep-12,2012,25
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Packera anonyma,Native,Forb,Sep-13,2013,10
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Packera anonyma,Native,Forb,Sep-14,2014,8
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Packera anonyma,Native,Forb,Sep-15,2015,4
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Paspalum notatum,Exotic,C4,Sep-13,2013,1
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Paspalum sp,UNK,C4,Jun-13,2013,1
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Paspalum sp,UNK,C4,Sep-12,2012,1.5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Paspalum sp,UNK,C4,Sep-13,2013,3
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Plantago lanceolata,Exotic,Forb,Sep-15,2015,4
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Ranunculus bulbosus,Exotic,Forb,Sep-12,2012,2
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Ranunculus bulbosus,Exotic,Forb,Sep-13,2013,2
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Ranunculus bulbosus,Exotic,Forb,Sep-14,2014,2
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Salvia lyrata,Native,Forb,Jul-14,2014,5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Salvia lyrata,Native,Forb,Jun-13,2013,8
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Salvia lyrata,Native,Forb,May-14,2014,17
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Salvia lyrata,Native,Forb,Sep-12,2012,3
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Salvia lyrata,Native,Forb,Sep-13,2013,4
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Salvia lyrata,Native,Forb,Sep-14,2014,1
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Schedonorus arundinaceus,Exotic,C3,Jul-14,2014,5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Schedonorus arundinaceus,Exotic,C3,May-14,2014,2
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Schedonorus arundinaceus,Exotic,C3,Sep-12,2012,4
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Schedonorus arundinaceus,Exotic,C3,Sep-14,2014,7
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Schedonorus arundinaceus,Exotic,C3,Sep-15,2015,12
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Scutellaria integrifolia,Native,Forb,Jul-14,2014,25
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Scutellaria integrifolia,Native,Forb,Jun-13,2013,20
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Scutellaria integrifolia,Native,Forb,May-14,2014,30
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Scutellaria integrifolia,Native,Forb,Sep-12,2012,5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Scutellaria integrifolia,Native,Forb,Sep-13,2013,10
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Scutellaria integrifolia,Native,Forb,Sep-14,2014,35
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Scutellaria integrifolia,Native,Forb,Sep-15,2015,40
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Setaria parviflora,Native,C4,Sep-12,2012,4
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Setaria parviflora,Native,C4,Sep-13,2013,15
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Setaria parviflora,Native,C4,Sep-15,2015,23
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Solidago altissima,Native,Forb,Jun-13,2013,35
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Solidago pinetorum,Native,Forb,Jul-14,2014,40
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Solidago pinetorum,Native,Forb,May-14,2014,40
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Solidago pinetorum,Native,Forb,Sep-12,2012,30
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Solidago pinetorum,Native,Forb,Sep-13,2013,65
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Solidago pinetorum,Native,Forb,Sep-14,2014,20
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Symphyotrichum pilosum,Native,Forb,Sep-12,2012,5
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Tridens flavus,Native,C4,Sep-14,2014,2
1_1,1,TRFLPRE,1TRFLPRE,Sprayed,Fertilized,Polyculture,TRFL,Tridens flavus,Native,C4,Sep-15,2015,3
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Allium vineale,Exotic,Forb,Sep-12,2012,0.1
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Andropogon virginicus,Native,C4,Jul-14,2014,7
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Andropogon virginicus,Native,C4,Jun-13,2013,3
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Andropogon virginicus,Native,C4,May-14,2014,2
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Andropogon virginicus,Native,C4,Sep-12,2012,7
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Andropogon virginicus,Native,C4,Sep-13,2013,15
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Andropogon virginicus,Native,C4,Sep-14,2014,2
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Anthoxanthum odoratum,Exotic,C3,Jul-14,2014,10
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Anthoxanthum odoratum,Exotic,C3,Jun-13,2013,25
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Anthoxanthum odoratum,Exotic,C3,May-14,2014,20
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Anthoxanthum odoratum,Exotic,C3,Sep-12,2012,3
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Anthoxanthum odoratum,Exotic,C3,Sep-13,2013,25
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Anthoxanthum odoratum,Exotic,C3,Sep-14,2014,60
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Anthoxanthum odoratum,Exotic,C3,Sep-15,2015,5
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Apocynum cannabinum,Native,Forb,Jul-14,2014,3
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Apocynum cannabinum,Native,Forb,Jun-13,2013,6
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Apocynum cannabinum,Native,Forb,May-14,2014,3
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Apocynum cannabinum,Native,Forb,Sep-13,2013,3
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Apocynum cannabinum,Native,Forb,Sep-14,2014,4
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Carex complanata,Native,C3,Jul-14,2014,10
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Carex complanata,Native,C3,Sep-14,2014,2
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Carex complanata,Native,C3,Sep-15,2015,20
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Carex sp,UNK,C3,May-14,2014,2
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Chamaecrista nictitans,Native,Legume,Jul-14,2014,0.5
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Chamaecrista nictitans,Native,Legume,Sep-12,2012,1
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Chamaecrista nictitans,Native,Legume,Sep-14,2014,2
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Danthonia spicata,Native,C3,Sep-14,2014,3
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Dichanthelium acuminatum,Native,C4,May-14,2014,0.5
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Dichanthelium acuminatum,Native,C4,Sep-15,2015,2
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Dichanthelium dichotomum,Native,C4,Sep-13,2013,8
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Dichanthelium dichotomum,Native,C4,Sep-14,2014,15
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Dichanthelium dichotomum,Native,C4,Sep-15,2015,6
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Dichanthelium sphaerocarpon,Native,C4,Sep-15,2015,1
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Digitaria sanguinalis,Exotic,C4,May-14,2014,8
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Erigeron annuus,Native,Forb,Jun-13,2013,2
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Holcus lanatus,Exotic,C3,Jul-14,2014,10
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Holcus lanatus,Exotic,C3,Jun-13,2013,12
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Holcus lanatus,Exotic,C3,May-14,2014,8
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Holcus lanatus,Exotic,C3,Sep-12,2012,0.5
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Holcus lanatus,Exotic,C3,Sep-13,2013,1
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Holcus lanatus,Exotic,C3,Sep-14,2014,15
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Holcus lanatus,Exotic,C3,Sep-15,2015,12
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Ipomoea pandurata,Native,Forb,Jul-14,2014,1
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Ipomoea pandurata,Native,Forb,Jun-13,2013,3
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Ipomoea pandurata,Native,Forb,Sep-13,2013,1
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Ipomoea pandurata,Native,Forb,Sep-14,2014,4
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Ipomoea pandurata,Native,Forb,Sep-15,2015,1
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Lonicera japonica,Exotic,Woody,Jul-14,2014,8
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Lonicera japonica,Exotic,Woody,Jun-13,2013,3
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Lonicera japonica,Exotic,Woody,May-14,2014,5
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Lonicera japonica,Exotic,Woody,Sep-13,2013,8
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Lonicera japonica,Exotic,Woody,Sep-14,2014,12
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Lonicera japonica,Exotic,Woody,Sep-15,2015,20
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Oxalis dillenii,Native,Forb,Jun-13,2013,1
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Oxalis dillenii,Native,Forb,May-14,2014,0.5
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Oxalis dillenii,Native,Forb,Sep-12,2012,0.5
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Oxalis dillenii,Native,Forb,Sep-13,2013,3
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Oxalis dillenii,Native,Forb,Sep-14,2014,1
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Oxalis dillenii,Native,Forb,Sep-15,2015,1
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Packera anonyma,Native,Forb,Jul-14,2014,20
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Packera anonyma,Native,Forb,Jun-13,2013,50
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Packera anonyma,Native,Forb,May-14,2014,45
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Packera anonyma,Native,Forb,Sep-12,2012,90
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Packera anonyma,Native,Forb,Sep-13,2013,20
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Packera anonyma,Native,Forb,Sep-14,2014,30
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Packera anonyma,Native,Forb,Sep-15,2015,2
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Paspalum notatum,Exotic,C4,Sep-13,2013,1
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Paspalum sp,UNK,C4,Jun-13,2013,1
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Paspalum sp,UNK,C4,Sep-12,2012,1.5
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Paspalum sp,UNK,C4,Sep-13,2013,4
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Pinus taeda,Native,Woody,Jul-14,2014,4
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Pinus taeda,Native,Woody,May-14,2014,1
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Pinus taeda,Native,Woody,Sep-12,2012,0.5
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Pinus taeda,Native,Woody,Sep-13,2013,2
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Pinus taeda,Native,Woody,Sep-14,2014,8
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Pinus taeda,Native,Woody,Sep-15,2015,35
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Plantago lanceolata,Exotic,Forb,Jul-14,2014,7
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Plantago lanceolata,Exotic,Forb,May-14,2014,7
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Plantago lanceolata,Exotic,Forb,Sep-13,2013,5
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Plantago lanceolata,Exotic,Forb,Sep-14,2014,5
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Plantago lanceolata,Exotic,Forb,Sep-15,2015,3
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Poa pratensis,Exotic,C3,Sep-12,2012,1
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Salvia lyrata,Native,Forb,Jul-14,2014,8
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Salvia lyrata,Native,Forb,Jun-13,2013,6
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Salvia lyrata,Native,Forb,May-14,2014,18
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Salvia lyrata,Native,Forb,Sep-12,2012,1.5
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Salvia lyrata,Native,Forb,Sep-13,2013,5
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Salvia lyrata,Native,Forb,Sep-14,2014,4
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Salvia lyrata,Native,Forb,Sep-15,2015,10
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Schedonorus arundinaceus,Exotic,C3,Jul-14,2014,15
1_3,1,PAANMRE,1PAANMRE,Sprayed,Fertilized,Monoculture,PAAN,Schedonorus arundinaceus,Exotic,C3,May-14,2014,9
